# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
Comlurb,398,"2,11","49,25%","6,32%",00:03:11,"2,44"
Agente educador,331,"2,31","36,25%","2,62%",00:03:24,"2,02"
agente educador,317,"2,29","22,08%","3,03%",00:05:17,"2,88"
inss,305,"2,05","41,64%","7,83%",00:02:38,"2,38"
policia civil,251,"2,86","27,09%","8,65%",00:04:26,"3,98"
tre pr,234,"1,91","41,45%","8,26%",00:04:21,"3,31"
comlurb,211,"1,97","36,02%","7,93%",00:03:34,"3,06"
policia civil rj,188,"2,09","27,13%","5,34%",00:04:52,"4,00"
unirio,183,"2,82","16,39%","5,81%",00:04:11,"4,82"
Necropsia,163,"3,06","32,52%","7,82%",00:04:27,"5,94"
Polícia civil,151,"2,77","31,13%","9,09%",00:03:22,"4,05"
Auxiliar de necropsia,145,"2,68","20,00%","7,73%",00:03:58,"4,68"
ibge,135,"2,16","21,48%","6,87%",00:05:04,"3,52"
Inss,128,"2,27","36,72%","6,53%",00:02:42,"2,57"
Unirio,128,"2,29","31,25%","4,78%",00:02:38,"3,05"
cabo frio,125,"2,46","21,60%","9,12%",00:03:06,"3,23"
Concurso,125,"3,02","50,40%","5,57%",00:04:00,"3,62"
necropsia,112,"3,59","21,43%","7,96%",00:06:15,"6,62"
Cabo frio,106,"2,86","28,30%","7,26%",00:03:49,"3,03"
ufrj,102,"2,25","9,80%","6,52%",00:05:42,"4,10"
tj rj,100,"2,26","29,00%","10,62%",00:03:09,"2,32"
Rio de janeiro,95,"2,45","44,21%","4,72%",00:03:40,"3,65"
Polícia civil rj,91,"2,26","32,97%","4,37%",00:04:16,"3,76"
araruama,87,"2,01","32,18%","16,00%",00:01:50,"2,61"
INSS,86,"1,94","45,35%","10,78%",00:02:37,"2,73"
Ibge,84,"2,35","53,57%","5,58%",00:03:38,"1,46"
Polícia,81,"3,16","54,32%","5,08%",00:04:08,"2,69"
Araruama,80,"2,28","27,50%","16,48%",00:02:15,"2,08"
policia,76,"2,99","30,26%","8,81%",00:03:41,"4,26"
professor,76,"3,24","25,00%","7,72%",00:05:48,"6,51"
Rio de Janeiro,75,"3,16","33,33%","7,17%",00:05:53,"7,39"
rio de janeiro,70,"2,51","32,86%","13,07%",00:04:42,"6,89"
Gari,67,"2,25","46,27%","9,93%",00:01:45,"1,88"
RJ,66,"4,38","50,00%","1,38%",00:03:50,"3,86"
TJ RJ,65,"2,48","21,54%","13,66%",00:03:50,"3,48"
tj,64,"2,75","15,62%","18,75%",00:02:04,"1,67"
Policia civil,63,"2,38","22,22%","11,33%",00:04:25,"3,41"
português,63,"1,84","44,44%","6,90%",00:03:13,"4,14"
Professor adjunto,63,"1,86","31,75%","4,27%",00:01:01,"1,60"
Professor,62,"3,39","30,65%","4,76%",00:04:56,"6,56"
pc rj,59,"2,29","15,25%","14,07%",00:04:23,"2,81"
Rj,59,"5,19","45,76%","2,29%",00:05:55,"7,08"
Pmerj,58,"2,24","32,76%","10,00%",00:03:44,"2,74"
Policia civil rj,58,"2,03","48,28%","7,63%",00:02:09,"1,88"
Técnico de necropsia,58,"2,53","25,86%","9,52%",00:04:12,"4,71"
polícia civil,56,"2,46","39,29%","10,87%",00:03:45,"2,43"
SME,56,"2,68","35,71%","3,33%",00:02:48,"1,54"
prf,53,"2,23","22,64%","6,78%",00:05:35,"3,92"
Pc rj,51,"2,41","33,33%","11,38%",00:01:56,"1,76"
Policia,51,"3,53","52,94%","3,33%",00:02:31,"4,24"
UFRJ,51,"2,61","17,65%","9,77%",00:03:32,"3,25"
UNIRIO,51,"2,61","9,80%","6,77%",00:05:42,"5,04"
Concursos,50,"3,12","40,00%","4,49%",00:05:08,"3,76"
pedro II,50,"3,20","12,00%","8,12%",00:07:03,"7,20"
auxiliar de necropsia,48,"3,12","16,67%","6,00%",00:08:55,"7,17"
IBGE,48,"2,67","20,83%","5,47%",00:02:39,"3,15"
Trt,48,"3,73","79,17%","3,91%",00:10:14,"0,67"
2019,47,"3,43","51,06%","4,97%",00:04:24,"2,94"
Agente educador rj,47,"2,26","53,19%","1,89%",00:02:12,"1,32"
Polícia Civil,47,"2,51","29,79%","15,25%",00:02:12,"3,36"
policia federal,47,"2,15","23,40%","11,88%",00:03:13,"2,47"
rj,47,"6,00","44,68%","1,06%",00:07:26,"6,34"
campinas,45,"2,27","15,56%","8,82%",00:03:10,"2,44"
Prf,43,"2,58","39,53%","3,60%",00:05:25,"3,30"
